Date,Name,Nationality,Cause of death,Mountain
25 July 2021,Rick Allen,United Kingdom,Avalanche,K2
5 February 2021,Ali Sadpara,Pakistan,Storm,K2
5 February 2021,Juan Pablo Mohr Prieto,Chile,Storm,K2
5 February 2021,John Snorri Sigurjónsson,Iceland,Storm,K2
5 February 2021,Atanas Skatov,Bulgaria,Fall,K2
16 January 2021,Sergi Mingote,Spain,Fall,K2
22 July 2018,Kojiro Watanabe,Japan,Fall,K2
7 July 2018,Serge Dessureault,Canada,Fall,K2
30 July 2014,Miguel Ángel Pérez,Spain,Illness,K2
26/27 July 2013,Marty Schmidt,New Zealand / USA,Avalanche,K2
26/27 July 2013,Denali Schmidt(son of Marty Schmidt),New Zealand / USA,Avalanche,K2
6 February 2012,Vitaliy Gorelik,Russia,Heart attack,K2
6 August 2010,Fredrik Ericsson,Sweden,Fall,K2
17 July 2010,Petar Georgiev Unzhiev,Bulgaria,Illness,K2
23 June 2009,Michele Fait,Italy,Fall,K2
2 August 2008,Hwang Dong-jin,South Korea,Fall,K2
2 August 2008,Park Kyeong-hyo,South Korea,Fall,K2
2 August 2008,Kim Hyo-gyung,South Korea,Fall,K2
2 August 2008,Meherban Karim,Pakistan,Fall,K2
2 August 2008,Hugues d'Aubarede,France,Fall,K2
2 August 2008,Gerard McDonnell,Ireland,Fall,K2
2 August 2008,Pasang Bhote,Nepal,Fall,K2
2 August 2008,Jumic Bhote,Nepal,Fall,K2
2 August 2008,Rolf Bae,Norway,Fall,K2
2 August 2008,Jahan Baig,Pakistan,Fall,K2
2 August 2008,Dren Mandić,Serbia,Fall,K2
20 July 2007,Stefano Zavka,Italy,Disappeared,K2
20 July 2007,Nima Nurbu,Nepal,Fall,K2
13 August 2006,Arkadi Kuvakin,Russia,Avalanche,K2
13 August 2006,Aleksandr Foigt,Russia,Avalanche,K2
13 August 2006,Piotr Kuznetsov,Russia,Avalanche,K2
13 August 2006,Yuri Uteshev,Russia,Avalanche,K2
19 August 2004,Manel de la Mata,Spain,Altitude sickness,K2
2 August 2004,Dauoud Khadem Asl,Iran,Storm,K2
2 August 2004,Sergei Sokolov,Russia,Storm,K2
28 July 2004,Aleksandr Gubaev,Kyrgyzstan,Fall,K2
8 June 2004,Pae Kyong-kyu,South Korea,Avalanche,K2
